block_time,fees,score,block_hash
None,0.28546789,83.8,000000000000000000004460ffcfa47523eb5ea9f917469705ca074de39a26c5
6.43,0.31603554,97.8,000000000000000000023b3d70c1e4f09abbb0c42196047c37385205a413bcbe
8.99,0.32342893,90.7,00000000000000000003d487318325fe1159d0d5f9968e1ef6904ae57e2bfa9f
5.59,0.30622133,98.6,000000000000000000031cfe7bf8c128f4e6329066061d26e1d89874cf388adb
4.51,0.2941609,78.2,0000000000000000000008c879a6da2d4ed7c0a0aeb85436c19569a134eba2ae
15.46,0.40228128,85.8,00000000000000000002123ed37c4b576329914d7f545fe6738a52702ef9e3c3
5.38,0.31600872,87.2,00000000000000000002e987c61e95689d5de2ec89ba5fd1febbcd1436bec9a6
7.36,0.3209002,84.2,0000000000000000000099629583fc1469ea5c32ec6e3f2051800416c38b1527
4.34,0.30823137,95.19999999999999,000000000000000000030019acfb8ccc2515fbee4bcf9a6a2acd67e8bc74067b
15.4,0.38825222,89.7,000000000000000000009ce88d5c0598ce48766e53e2aaf5a716cf74abebf18e
4.03,0.28728185,95.19999999999999,00000000000000000000d569664fc6e4e3785d4d599c3f02e3d98b72c3031447
3.61,0.28259797,95.89999999999999,00000000000000000001b829fc07c92273e56146b30d08bcab680e593d2f665e
7.74,0.33167657,89.9,00000000000000000001bdcd954d28322d4154c27e73ec9ae9c2f5a652e4a107
8.3,0.32983465,89.5,000000000000000000017b9710b21edf982af10f240a6a3cbdaa75c82bfb5e9f
5.39,0.3027852,82.19999999999999,00000000000000000000c9ab3dff3aa39ec4591a2501c01c15340784931b9d3b
22.47,0.45566241,91.60000000000001,0000000000000000000150575fe98b8834c97d0b1ae988e92f84c5bf16197011
16.01,0.41248939,88.4,00000000000000000001520bad8288c8adb0ecbc287105bfd36c6a3c4d4dccc5
14.42,0.39615801,92.2,0000000000000000000022e1c078d87c5dec9a1d4a20be2788095bbccbfcb984
12.13,0.35529572,98.5,00000000000000000000b70ad493ce5859023d5eef7b3a2708c0c70ff5794648
3.06,0.27961032,99.2,00000000000000000001677b0436609ac80b303e48fa0650b8a8ff7428acd2b5
7.18,0.32065161,92.7,000000000000000000018bb0c95c58b0dd340a10184ea365d50ec52fef5ec0f8
5.62,0.29238214,89.3,000000000000000000004298080d3fae2243444166fab313dd4aae141ab51a99
11.83,0.3582021,87.1,00000000000000000002dcd9808cb511330b396d53a56b2d687ebae1f7bac2c0
21.67,0.40399624,92.80000000000001,00000000000000000000b47faea89a92b394ad434599c55d26963442b7fc40c9
16.93,0.38311189,94.1,00000000000000000002731e5f94390f38f6de9a52246c1a39a77514cae1e6dc
17.71,0.3661196,93.8,00000000000000000003691a19996958d2800f6c35930a68d0e5a0c0c5b4fb37
7.8,0.32508419,98.8,000000000000000000035f8ea6c1f72bd9eef1191554b7223a92fd8ffdff728e
4.24,0.27034575,93.7,000000000000000000022ec3eae3aa17a7d4ebd8be321092b16b39a36b09483b
4.21,0.27922524,88.9,0000000000000000000353ce25a197233fbd713cc265c38f6fa93a929f9295d0
7.86,0.2890772,90.2,000000000000000000003670b3642f254c3a84cca182346af2e24c31f35f18d6
13.54,0.32235715,96.89999999999999,00000000000000000003fde18fc277121aad9bd22cd4f5fa37a34d570be960d1
3.99,0.26121754,92.0,0000000000000000000298342f5e14f6787d928013b2d6dbfc5a983753517c6f
9.23,0.31700996,95.39999999999999,000000000000000000027ab9bd673b00602f2a8f1e72ba8a47d5e5b80e99b177
